date,year,location,work,concert_composers,instrument,performers
1921-05-18,1921,"Musikverein, Vienna, Austria","Concerto for Violin, Violoncello, and Piano in C Major, Op. 56, (""Triple Concerto"")",Ludwig van Beethoven;Ludwig van Beethoven;Ludwig van Beethoven;,violin,Alexander Wunderer;Adolf Busch;Paul Grümmer;Rudolf Serkin;
1921-05-27,1921,"Musikverein, Vienna, Austria","Konzert a-Moll für Violine, Klavier, Flöte und Streichorchester",Johann Sebastian Bach;Johann Sebastian Bach;Johann Sebastian Bach;,violin,Alexander Wunderer;Jacques Van Lier;Edwin Fischer;Adolf Busch;
1921-06-28,1921,"Sängerhalle, ","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Ludwig van Beethoven;Franz Schubert;,violin,Hermann Schmeidel;Karl Baltz-Balzberg;
1921-10-17,1921,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Johann Sebastian Bach;Wolfgang Amadeus Mozart;Johannes Brahms;,violin,S. Auber;Heinrich Schwarz;
1921-10-17,1921,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Johann Sebastian Bach;Wolfgang Amadeus Mozart;Johannes Brahms;,violin,S. Auber;Heinrich Schwarz;
1922-04-08,1922,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Johannes Brahms;Johannes Brahms;Johannes Brahms;,violin,Felix Weingartner;Karl Flesch;
1922-04-09,1922,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Johannes Brahms;Johannes Brahms;Johannes Brahms;,violin,Felix Weingartner;Karl Flesch;
1922-08-20,1922,"Mozarteum, Salzburg, Austria","Konzert Nr.4, D-Dur, f. Violine u. Orch., KV 218",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Richard Strauss;Joseph Szigeti;Elisabeth Schumann;
1923-02-20,1923,"Musikverein, Vienna, Austria","Concerto for Violin, Violoncello, and Piano in C Major, Op. 56, (""Triple Concerto"")",Wolfgang Amadeus Mozart;Ludwig van Beethoven;Antonín Dvořák;,violin,Ernst Bachrich;Ludwig Wittels;Rudolf Hindemith;Elly Lüttmann;
1924-09-27,1924,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Johannes Brahms;Peter Iljitsch Tschaikowsky;Ernest Chausson;,violin,Franz Schalk;Bronislaw Huberman;
1924-09-27,1924,"Musikverein, Vienna, Austria","Konzert für Violine in D-Dur, op. 35",Johannes Brahms;Peter Iljitsch Tschaikowsky;Ernest Chausson;,violin,Franz Schalk;Bronislaw Huberman;
1925-01-08,1925,"Vienna Konzerthaus, Vienna, Austria","Concerto for Violin in D Major, op. 77",Carl Maria von Weber;Johannes Brahms;Ernst von Dohnányi;Felix Mendelssohn-Bartholdy;,violin,Wilhelm Komor;Philipp Scharf;Philipp Scharf;
1925-01-08,1925,"Vienna Konzerthaus, Vienna, Austria","Concerto for Violin in E minor, op. 64",Carl Maria von Weber;Johannes Brahms;Ernst von Dohnányi;Felix Mendelssohn-Bartholdy;,violin,Wilhelm Komor;Philipp Scharf;Philipp Scharf;
1925-02-04,1925,"Ravag, ","Concerto for Violin in E minor, op. 64",Wolfgang Amadeus Mozart;Felix Mendelssohn-Bartholdy;Felix Mendelssohn-Bartholdy;Joseph Haydn;Joseph Haydn;,violin,Alexander Wunderer;Fritz Sedlak;None;
1925-02-05,1925,"Vienna Konzerthaus, Vienna, Austria","Konzert für Violine in D-Dur, op. 35",Ludwig van Beethoven;Antonín Dvořák;Niccolò Paganini;Peter Iljitsch Tschaikowsky;,violin,Paul Hein;Erica Morini;Robert Friedmann;
1925-02-27,1925,"Ravag, ","Konzert für Violoncello, nicht näher bezeichnet",Robert Fuchs;Johann Sebastian Bach;Joseph Haydn;Wolfgang Amadeus Mozart;,cello,Alexander Wunderer;Wilhelm Winkler;Leo Wurmser;Hans Kamesch;Gülcher;Gustav Gruber;Fritz Sedlak;
1926-01-12,1926,"Musikverein, Vienna, Austria","Concerto for Violin No. 3 in G major, K. 216",Wolfgang Amadeus Mozart;Ludwig van Beethoven;Johannes Brahms;,violin,Felix Weingartner;Bronislaw Huberman;
1926-01-12,1926,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Wolfgang Amadeus Mozart;Ludwig van Beethoven;Johannes Brahms;,violin,Felix Weingartner;Bronislaw Huberman;
1926-01-12,1926,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Wolfgang Amadeus Mozart;Ludwig van Beethoven;Johannes Brahms;,violin,Felix Weingartner;Bronislaw Huberman;
1926-02-12,1926,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Johannes Brahms;Wilhelm Jerger;Wilhelm Jerger;Peter Iljitsch Tschaikowsky;,violin,Wilhelm Jerger;Paula Neßwetha;Josef Geringer;
1926-02-12,1926,"Musikverein, Vienna, Austria","Konzert für Violine in D-Dur, op. 35",Johannes Brahms;Wilhelm Jerger;Wilhelm Jerger;Peter Iljitsch Tschaikowsky;,violin,Wilhelm Jerger;Paula Neßwetha;Josef Geringer;
1926-03-28,1926,"Ravag, ","Concerto for Violin and Orchestra in D Major, op. 61",Franz Liszt;Ludwig van Beethoven;Ludwig van Beethoven;Ludwig van Beethoven;,violin,Hugo Reichenberger;Georg Steiner;
1926-08-15,1926,"Large Festival Hall, Salzburg, Austria","Konzert für Violoncello in C-Dur, Hob. VIIb:1",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Joseph Haydn;Joseph Haydn;,cello,Clemens Krauss;Roszi Varady;Karl Stiegler;Marie Gerhart;
1926-08-29,1926,"Large Festival Hall, Salzburg, Austria","Concerto for Violin No. 3 in G major, K. 216",Gustav Mahler;Wolfgang Amadeus Mozart;Carl Maria von Weber;,violin,Bruno Walter;Marie Gerhart;Johann Koncz;
1926-10-23,1926,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Johann Sebastian Bach;Wolfgang Amadeus Mozart;Felix Mendelssohn-Bartholdy;,violin,Alexander Wunderer;Erika Kahr;
1926-10-23,1926,"Musikverein, Vienna, Austria","Concerto for Violin in E minor, op. 64",Johann Sebastian Bach;Wolfgang Amadeus Mozart;Felix Mendelssohn-Bartholdy;,violin,Alexander Wunderer;Erika Kahr;
1926-11-05,1926,"Deutsches Haus, ","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Johann Sebastian Bach;Vincent Dindy;Wolfgang Amadeus Mozart;,violin,Rudolf Nilius;Georg Steiner;
1926-12-16,1926,"Musikverein, Vienna, Austria","Konzert für Violine in D-Dur, op. 35",Ludwig van Beethoven;Johann Sebastian Bach;Peter Iljitsch Tschaikowsky;,violin,Arnold Rosé;Arnold Rosé;Alma Rosé;
1928-01-14,1928,"Musikverein, Vienna, Austria","Concerto for Violin No. 3 in G major, K. 216",Wolfgang Amadeus Mozart;Ludwig van Beethoven;Peter Iljitsch Tschaikowsky;Johannes Brahms;,violin,Robert Heger;Bronislaw Huberman;
1928-01-14,1928,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Wolfgang Amadeus Mozart;Ludwig van Beethoven;Peter Iljitsch Tschaikowsky;Johannes Brahms;,violin,Robert Heger;Bronislaw Huberman;
1928-06-17,1928,"Ravag, ","Concerto for Violin in E minor, op. 64",Johannes Brahms;Carl Lafite;Felix Mendelssohn-Bartholdy;Max Ast;Max Ast;Max Ast;Ottorino Respighi;,violin,Robert Heger;Anita Ast;Mieczyslaw Salecki;
1928-10-18,1928,"Musikverein, Vienna, Austria","Concerto for Violin No. 3 in G major, K. 216",Wolfgang Amadeus Mozart;Ludwig van Beethoven;Alexander Glazunow;,violin,Alexander Wunderer;Heinrich Schwarz;
1928-10-18,1928,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Wolfgang Amadeus Mozart;Ludwig van Beethoven;Alexander Glazunow;,violin,Alexander Wunderer;Heinrich Schwarz;
1928-10-18,1928,"Musikverein, Vienna, Austria","Violin-Konzert a-Moll, op. 82",Wolfgang Amadeus Mozart;Ludwig van Beethoven;Alexander Glazunow;,violin,Alexander Wunderer;Heinrich Schwarz;
1928-11-12,1928,"Ravag, ","Concerto for Violin and Orchestra in D Major, op. 61",Franz Liszt;Ludwig van Beethoven;Anton Bruckner;,violin,Robert Heger;Hugo Gottesmann;
1928-12-06,1928,"Vienna Konzerthaus, Vienna, Austria","Concerto for Violin in D Major, op. 77","Johannes Brahms;Wolfgang Amadeus Mozart;Richard Wagner, August Wilhelmj;Peter Iljitsch Tschaikowsky;",violin,Franz Schalk;Bronislaw Huberman;
1928-12-06,1928,"Vienna Konzerthaus, Vienna, Austria","Konzert für Violine in D-Dur, op. 35","Johannes Brahms;Wolfgang Amadeus Mozart;Richard Wagner, August Wilhelmj;Peter Iljitsch Tschaikowsky;",violin,Franz Schalk;Bronislaw Huberman;
1929-04-28,1929,"Ravag, ","Konzert für Violine in a-Moll, op. 53",Antonín Dvořák;Antonín Dvořák;Antonín Dvořák;,violin,Oskar Nedbal;Anita Ast;
1929-06-06,1929,"Vienna Konzerthaus, Vienna, Austria","Concerto for Violin No. 3 in G major, K. 216",Wolfgang Amadeus Mozart;Johannes Brahms;Peter Iljitsch Tschaikowsky;,violin,Franz Schalk;Bronislaw Huberman;
1929-06-06,1929,"Vienna Konzerthaus, Vienna, Austria","Concerto for Violin in D Major, op. 77",Wolfgang Amadeus Mozart;Johannes Brahms;Peter Iljitsch Tschaikowsky;,violin,Franz Schalk;Bronislaw Huberman;
1929-06-06,1929,"Vienna Konzerthaus, Vienna, Austria","Konzert für Violine in D-Dur, op. 35",Wolfgang Amadeus Mozart;Johannes Brahms;Peter Iljitsch Tschaikowsky;,violin,Franz Schalk;Bronislaw Huberman;
1929-10-25,1929,"Musikverein, Vienna, Austria","Konzert für Violine in D-Dur, op. 35",Louis Spohr;Peter Iljitsch Tschaikowsky;Pablo de Sarasate;,violin,Robert Heger;Erica Morini;
1930-01-22,1930,"Musikverein, Vienna, Austria","Konzert für Violoncello in D-Dur, Hob. VIIb:2",Joseph Haydn;Wolfgang Amadeus Mozart;Ludwig van Beethoven;,cello,Franz Schalk;Friedrich Wührer;Friedrich Buxbaum;Franz Mairecker;
1930-01-22,1930,"Musikverein, Vienna, Austria","Concerto for Violin, Violoncello, and Piano in C Major, Op. 56, (""Triple Concerto"")",Joseph Haydn;Wolfgang Amadeus Mozart;Ludwig van Beethoven;,violin,Franz Schalk;Friedrich Wührer;Friedrich Buxbaum;Franz Mairecker;
1930-01-23,1930,"Musikverein, Vienna, Austria","Konzert für Violoncello in D-Dur, Hob. VIIb:2",Edouard Lalo;Joseph Haydn;Antonín Dvořák;Peter Iljitsch Tschaikowsky;,cello,Alexander Wunderer;Wilhelm Winkler;
1930-02-19,1930,"Musikverein, Vienna, Austria","Konzert für Violine in D-Dur, op. 35",Peter Iljitsch Tschaikowsky;Wilhelm Jerger;Karl Goldmark;,violin,Wilhelm Jerger;Josef Geringer;Jella Pessl;
1930-05-06,1930,"Vienna Konzerthaus, Vienna, Austria","Concerto for Violin in E minor, op. 64",Felix Mendelssohn-Bartholdy;Johannes Brahms;Peter Iljitsch Tschaikowsky;,violin,Franz Schalk;Nathan Milstein;
1930-05-06,1930,"Vienna Konzerthaus, Vienna, Austria","Concerto for Violin in D Major, op. 77",Felix Mendelssohn-Bartholdy;Johannes Brahms;Peter Iljitsch Tschaikowsky;,violin,Franz Schalk;Nathan Milstein;
1930-05-06,1930,"Vienna Konzerthaus, Vienna, Austria","Konzert für Violine in D-Dur, op. 35",Felix Mendelssohn-Bartholdy;Johannes Brahms;Peter Iljitsch Tschaikowsky;,violin,Franz Schalk;Nathan Milstein;
1930-08-15,1930,"Haus für Mozart, Salzburg, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Franz Schalk;Wily Schweyda;
1932-03-12,1932,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Johannes Brahms;Wolfgang Amadeus Mozart;Alfredo Casella;Richard Strauss;,violin,Clemens Krauss;Joseph Szigeti;
1932-03-13,1932,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Johannes Brahms;Wolfgang Amadeus Mozart;Alfredo Casella;Richard Strauss;,violin,Clemens Krauss;Joseph Szigeti;
1932-04-02,1932,"Musikverein, Vienna, Austria","Konzert für Violoncello in D-Dur, Hob. VIIb:2",Joseph Haydn;Joseph Haydn;Joseph Haydn;Ludwig van Beethoven;,cello,Clemens Krauss;Pablo Casals;
1932-04-06,1932,"Vienna Konzerthaus, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Ludwig van Beethoven;Felix Mendelssohn-Bartholdy;,violin,Issay Dobrowen;Bronislaw Huberman;
1932-04-06,1932,"Vienna Konzerthaus, Vienna, Austria","Concerto for Violin in E minor, op. 64",Ludwig van Beethoven;Ludwig van Beethoven;Felix Mendelssohn-Bartholdy;,violin,Issay Dobrowen;Bronislaw Huberman;
1932-10-24,1932,"Vienna Konzerthaus, Vienna, Austria","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Wolfgang Amadeus Mozart;Ludwig van Beethoven;Felix Mendelssohn-Bartholdy;,violin,Oswald Kabasta;Erica Morini;
1932-10-24,1932,"Vienna Konzerthaus, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Wolfgang Amadeus Mozart;Ludwig van Beethoven;Felix Mendelssohn-Bartholdy;,violin,Oswald Kabasta;Erica Morini;
1932-10-24,1932,"Vienna Konzerthaus, Vienna, Austria","Concerto for Violin in E minor, op. 64",Wolfgang Amadeus Mozart;Ludwig van Beethoven;Felix Mendelssohn-Bartholdy;,violin,Oswald Kabasta;Erica Morini;
1932-11-05,1932,"Musikverein, Vienna, Austria","Konzert für Violoncello in h-Moll, op. 104",Paul Hindemith;Hector Berlioz;Antonín Dvořák;Johannes Brahms;,cello,Clemens Krauss;Emanuel Feuermann;
1932-11-06,1932,"Musikverein, Vienna, Austria","Konzert für Violoncello in h-Moll, op. 104",Paul Hindemith;Hector Berlioz;Antonín Dvořák;Johannes Brahms;,cello,Clemens Krauss;Emanuel Feuermann;
1933-01-06,1933,"Vienna Konzerthaus, Vienna, Austria","Concerto for Violin, Violoncello, and Piano in C Major, Op. 56, (""Triple Concerto"")",Ludwig van Beethoven;Ludwig van Beethoven;Ludwig van Beethoven;Ludwig van Beethoven;,violin,Clemens Krauss;Bronislaw Huberman;Siegfried Schultze;Paul Grümmer;
1933-01-06,1933,"Vienna Konzerthaus, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Ludwig van Beethoven;Ludwig van Beethoven;Ludwig van Beethoven;,violin,Clemens Krauss;Bronislaw Huberman;Siegfried Schultze;Paul Grümmer;
1933-05-19,1933,"Musikverein, Vienna, Austria","Concerto for Violin and Violoncello in A Minor, op. 102",Johannes Brahms;Johannes Brahms;Johannes Brahms;Johannes Brahms;,violin,Wilhelm Furtwängler;Bronislaw Huberman;Pablo Casals;
1933-10-08,1933,"Musikverein, Vienna, Austria","Konzert für Violoncello in D-Dur, Hob. VIIb:2",Richard Strauss;Joseph Haydn;Luigi Boccherini;Nicolai Rimski-Korsakow;,cello,Sidney Beer;Gregor Piatigorsky;
1933-11-05,1933,"Vienna Konzerthaus, Vienna, Austria","Concerto for Violin in D Major, op. 77",Johannes Brahms;Frederick Delius;Peter Iljitsch Tschaikowsky;,violin,George Szell;Bronislaw Huberman;
1933-11-05,1933,"Vienna Konzerthaus, Vienna, Austria","Konzert für Violine in D-Dur, op. 35",Johannes Brahms;Frederick Delius;Peter Iljitsch Tschaikowsky;,violin,George Szell;Bronislaw Huberman;
1934-03-27,1934,"Vienna Konzerthaus, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Wolfgang Amadeus Mozart;Peter Iljitsch Tschaikowsky;Felix Mendelssohn-Bartholdy;,violin,Paul Breisach;Bronislaw Huberman;
1934-03-27,1934,"Vienna Konzerthaus, Vienna, Austria","Concerto for Violin in E minor, op. 64",Ludwig van Beethoven;Wolfgang Amadeus Mozart;Peter Iljitsch Tschaikowsky;Felix Mendelssohn-Bartholdy;,violin,Paul Breisach;Bronislaw Huberman;
1934-10-05,1934,"Ravag, ","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Franz Schubert;Wolfgang Amadeus Mozart;Gustav Mahler;Ludwig van Beethoven;,violin,Oswald Kabasta;Ricardo (Richard) Odnoposoff;Rosette Anday;
1934-10-08,1934,"Vienna Konzerthaus, Vienna, Austria","Concerto for Violin in D Major, op. 77",Wolfgang Amadeus Mozart;Johannes Brahms;Edouard Lalo;,violin,George Szell;Arnold Rosé;Bronislaw Huberman;
1934-12-02,1934,"Vienna Konzerthaus, Vienna, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Joseph Haydn;Wolfgang Amadeus Mozart;Claude Debussy;Richard Strauss;,violin,Sidney Beer;Ricardo (Richard) Odnoposoff;
1935-03-01,1935,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Wolfgang Amadeus Mozart;Johannes Brahms;Felix Mendelssohn-Bartholdy;,violin,Felix Weingartner;Fritz Kreisler;
1935-03-01,1935,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Wolfgang Amadeus Mozart;Johannes Brahms;Felix Mendelssohn-Bartholdy;,violin,Felix Weingartner;Fritz Kreisler;
1935-03-01,1935,"Musikverein, Vienna, Austria","Concerto for Violin in E minor, op. 64",Wolfgang Amadeus Mozart;Johannes Brahms;Felix Mendelssohn-Bartholdy;,violin,Felix Weingartner;Fritz Kreisler;
1935-11-14,1935,"Musikverein, Vienna, Austria","Concerto for Violin No. 3 in G major, K. 216",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Ludwig van Beethoven;,violin,Bruno Walter;Bronislaw Huberman;
1935-11-14,1935,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Ludwig van Beethoven;,violin,Bruno Walter;Bronislaw Huberman;
1935-11-15,1935,"Musikverein, Vienna, Austria","Concerto for Violin No. 3 in G major, K. 216",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Ludwig van Beethoven;,violin,Bruno Walter;Bronislaw Huberman;
1935-11-15,1935,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Ludwig van Beethoven;,violin,Bruno Walter;Bronislaw Huberman;
1936-03-11,1936,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Wolfgang Amadeus Mozart;Johannes Brahms;Antonín Dvořák;,violin,Josef Krips;Ricardo (Richard) Odnoposoff;
1936-03-11,1936,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Wolfgang Amadeus Mozart;Johannes Brahms;Antonín Dvořák;,violin,Josef Krips;Ricardo (Richard) Odnoposoff;
1936-03-11,1936,"Musikverein, Vienna, Austria","Konzert für Violine in a-Moll, op. 53",Wolfgang Amadeus Mozart;Johannes Brahms;Antonín Dvořák;,violin,Josef Krips;Ricardo (Richard) Odnoposoff;
1936-05-28,1936,"Vienna Konzerthaus, Vienna, Austria","Konzert für Violine in a-Moll, op. 53",Antonín Dvořák;Ludwig van Beethoven;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Felix Mendelssohn-Bartholdy;,violin,Hans Wilhelm Steinberg;Bronislaw Huberman;
1936-05-28,1936,"Vienna Konzerthaus, Vienna, Austria","Concerto for Violin in E minor, op. 64",Antonín Dvořák;Ludwig van Beethoven;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Felix Mendelssohn-Bartholdy;,violin,Hans Wilhelm Steinberg;Bronislaw Huberman;
1936-06-07,1936,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Ludwig van Beethoven;Ludwig van Beethoven;Ludwig van Beethoven;,violin,Otto Klemperer;Bronislaw Huberman;
1936-08-21,1936,"Mozarteum, Salzburg, Austria","Concerto for Violin No. 3 in G major, K. 216",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Bruno Walter;E. René Francescati;
1936-10-25,1936,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra, „Dem Andenken eines Engels“ (“To the Memory of an Angel”)",Robert Schumann;Alban Berg;Johannes Brahms;,violin,Otto Klemperer;Louis Krasner;
1937-01-26,1937,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Wolfgang Amadeus Mozart;Gabriel-Urbain Fauré;Johannes Brahms;Antonín Dvořák;,violin,Sidney Beer;Ricardo (Richard) Odnoposoff;
1937-02-23,1937,"Musikverein, Vienna, Austria","Konzert für Violoncello Nr. 1 in a-Moll, op. 33",Georg Friedrich Händel;Guido Binkau;Charles-Camille Saint-Saëns;,cello,Guido Binkau;Richard Krotschak;
1937-10-28,1937,"Vienna Konzerthaus, Vienna, Austria","Concerto for Violin in D Major, op. 77",Ludwig van Beethoven;Johannes Brahms;Anton Bruckner;,violin,Hermann Abendroth;Georg Kuhlenkampff;
1937-12-05,1937,"Musikverein, Vienna, Austria","Konzert für Violoncello in D-Dur, Hob. VIIb:2",Wolfgang Amadeus Mozart;Joseph Haydn;Franz Schubert;,cello,Bruno Walter;Pablo Casals;
1939-05-25,1939,"Musikverein, Vienna, Austria",Violin-Konzert op. 104,Max Reger;Paul Graener;Johannes Brahms;,violin,Heinz Drewes;Wilhelm Stoss;
1940-04-04,1940,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Johannes Brahms;Johann Sebastian Bach;Peter Iljitsch Tschaikowsky;,violin,Rudolf Moralt;Wolfgang Schneiderhan;
1940-04-04,1940,"Musikverein, Vienna, Austria","Konzert für Violine in D-Dur, op. 35",Johannes Brahms;Johann Sebastian Bach;Peter Iljitsch Tschaikowsky;,violin,Rudolf Moralt;Wolfgang Schneiderhan;
1940-07-17,1940,"Mozarteum, Salzburg, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wilhelm Jerger;Wolfgang Amadeus Mozart;Peter Iljitsch Tschaikowsky;,violin,Karl Böhm;Wolfgang Schneiderhan;
1940-12-01,1940,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D minor, op. 47",Joseph Messner;Willy Burkhard;Zoltán Kodály;Jean Sibelius;Ottorino Respighi;,violin,Carl Schuricht;Heinz Stanske;Franz Schütz;
1940-12-20,1940,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Johannes Brahms;Antonín Dvořák;Niccolò Paganini;,violin,Rudolf Moralt;Jaroslav Suchy;
1940-12-20,1940,"Musikverein, Vienna, Austria","Konzert für Violine in a-Moll, op. 53",Johannes Brahms;Antonín Dvořák;Niccolò Paganini;,violin,Rudolf Moralt;Jaroslav Suchy;
1941-01-25,1941,"Musikverein, Vienna, Austria","Concerto for Violin, Violoncello, and Piano in C Major, Op. 56, (""Triple Concerto"")",Carl Maria von Weber;Carl Maria von Weber;Carl Maria von Weber;Ludwig van Beethoven;Wilhelm Jerger;Manuel de Falla;Niccolò Paganini;,violin,Clemens Krauss;Richard Krotschak;Wolfgang Schneiderhan;Karl Swoboda;
1941-03-04,1941,"Vienna Konzerthaus, Vienna, Austria","Concerto a cinque für Klavier, Violine, Oboe, Trompete, Kontrabass und Streichorchester",Arcangelo Corelli;Gian Francesco Malipiero;Gian Francesco Malipiero;Alfredo Casella;Ottorino Respighi;,violin,Rudolf Moralt;
1941-03-08,1941,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Max Reger;Wolfgang Amadeus Mozart;Ludwig van Beethoven;,violin,Karl Böhm;Wolfgang Schneiderhan;
1941-03-09,1941,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Max Reger;Wolfgang Amadeus Mozart;Ludwig van Beethoven;,violin,Karl Böhm;Wolfgang Schneiderhan;
1941-03-12,1941,"Musikverein, Vienna, Austria","Concerto for Violin No. 3 in G major, K. 216",Wolfgang Amadeus Mozart;Johannes Brahms;Antonín Dvořák;,violin,Franz Mairecker;Willi Boskovsky;
1941-03-12,1941,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Wolfgang Amadeus Mozart;Johannes Brahms;Antonín Dvořák;,violin,Franz Mairecker;Willi Boskovsky;
1941-03-12,1941,"Musikverein, Vienna, Austria","Konzert für Violine in a-Moll, op. 53",Wolfgang Amadeus Mozart;Johannes Brahms;Antonín Dvořák;,violin,Franz Mairecker;Willi Boskovsky;
1941-11-06,1941,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Louis Spohr;Ludwig van Beethoven;Antonín Dvořák;,violin,Rudolf Moralt;Jaroslav Suchy;
1941-11-06,1941,"Musikverein, Vienna, Austria","Konzert für Violine in a-Moll, op. 53",Louis Spohr;Ludwig van Beethoven;Antonín Dvořák;,violin,Rudolf Moralt;Jaroslav Suchy;
1941-11-29,1941,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 4] in D-Dur, KV 218",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Leopold Reichwein;Wolfgang Schneiderhan;Friedrich Wührer;Walter Panhofer;
1941-11-30,1941,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;Wolfgang Amadeus Mozart;,violin,Hans Knappertsbusch;Georg Kuhlenkampff;
1942-02-12,1942,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Giovanni B. Viotti;Johannes Brahms;Niccolò Paganini;,violin,Franz Konwitschny;Wolfgang Schneiderhan;
1942-03-17,1942,"Vienna Konzerthaus, Vienna, Austria","Concerto for Violin No. 3 in G major, K. 216",Johann Sebastian Bach;Wolfgang Amadeus Mozart;Niccolò Paganini;Ennio Porrino;Joseph Haydn;,violin,Wilhelm Jerger;Willi Boskovsky;Hans Reznicek;
1942-04-12,1942,"Musikverein, Vienna, Austria","Konzert für Violine [Nr. 5] in A-Dur, KV 219",Franz Schubert;Ludwig van Beethoven;Wolfgang Amadeus Mozart;Richard Strauss;,violin,Clemens Krauss;Wolfgang Schneiderhan;
1942-10-31,1942,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Johannes Brahms;Anton Bruckner;,violin,Wilhelm Furtwängler;Wolfgang Schneiderhan;
1942-11-01,1942,"Musikverein, Vienna, Austria","Concerto for Violin in D Major, op. 77",Johannes Brahms;Anton Bruckner;,violin,Wilhelm Furtwängler;Wolfgang Schneiderhan;
1943-01-07,1943,"Musikverein, Vienna, Austria","Concerto for Violin No. 3 in G major, K. 216",Wolfgang Amadeus Mozart;Ludwig van Beethoven;Max Bruch;,violin,Rudolf Moralt;Wolfgang Poduschka;
1943-01-07,1943,"Musikverein, Vienna, Austria","Concerto for Violin and Orchestra in D Major, op. 61",Wolfgang Amadeus Mozart;Ludwig van Beethoven;Max Bruch;,violin,Rudolf Moralt;Wolfgang Poduschka;
